id,type,path,apidoc_Text
55,package,java/rmi/activation,"\n\nProvides support for RMI Object Activation.  A remote\nobject's reference can be made ``persistent'' and later activated into a\n``live'' object using the RMI activation mechanism.\n\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href="">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href="">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since 1.2\n"
57,package,java/rmi/server,"\n\nProvides classes and interfaces for supporting the server\nside of RMI.  A group of classes are used by the stubs and skeletons\ngenerated by the rmic stub compiler.  Another group of classes\nimplements the RMI Transport protocol and HTTP tunneling.\n\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href="">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href="">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since JDK1.1\n"
61,package,java/lang/annotation,"\n\nProvides library support for the Java programming language annotation facility.\n\n@version  1.2, 04/02/10\n@author	  Josh Bloch\n@since	  1.5\n\n"
65,package,java/text,"\n\nProvides classes and interfaces for handling text, dates, numbers, and messages\nin a manner independent of natural languages.  This means your main application\nor applet can be written to be language-independent, and it can rely upon\nseparate, dynamically-linked localized resources. This allows the flexibility\nof adding localizations for new localizations at any time.\n<p>\nThese classes are capable of formatting dates, numbers, and messages, parsing;\nsearching and sorting strings; and iterating over characters, words, sentences,\nand line breaks.  This package contains three main groups of classes and\ninterfaces:\n<ul>\n<li>Classes for iteration over text\n<li>Classes for formatting and parsing\n<li>Classes for string collation\n</ul>\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href="">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href="">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since JDK1.1\n"
66,package,java/text/spi,"\nService provider classes for the classes in the java.text package.\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href="">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href="">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since 1.6\n"
70,package,java/util,"\n\nContains the collections framework, legacy collection classes, event model,\ndate and time facilities, internationalization, and miscellaneous utility\nclasses (a string tokenizer, a random-number generator, and a bit array).\n\n<h2>Package Specification</h2>\n<ul>\n  <li><a href=../../../technotes/guides/collections/overview.html><b>Collections Framework Overview</b></a>\n  <li><a href=../../../technotes/guides/collections/reference.html><b>\n       Collections Framework Annotated Outline</b></a>\n</ul>\n\n<h2>Related Documentation</h2>\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n    <li><a href=http://www.java.sun.com/docs/books/tutorial/collections/>\n       <b>Collections Framework Tutorial</b></a>\n    <li><a\n    href=../../../technotes/guides/collections/designfaq.html><b>Collections\n    Framework Design FAQ</b></a>\n</ul>\n\n@since JDK1.0\n"
72,package,java/util/prefs,"\n\nThis package allows applications to store and retrieve user and system\npreference and configuration data. This data is stored persistently in an\nimplementation-dependent backing store. There are two separate trees of\npreference nodes, one for user preferences and one for system preferences.\n\n<!--\n<h2>Package Specification</h2>\n<h2>Related Documentation</h2>\n-->\n\n@since JDK1.4\n"
76,package,java/util/spi,"\nService provider classes for the classes in the java.util package.\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href="">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href="">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since 1.6\n"
84,package,java/security/cert,"\n\nProvides classes and interfaces for parsing and managing\ncertificates, certificate revocation lists (CRLs), and \ncertification paths. It contains support for X.509 v3 \ncertificates and X.509 v2 CRLs.\n\n<h2>Package Specification</h2>\n\n<ul>\n  <li><a href=../../../../technotes/guides/security/crypto/CryptoSpec.html><b>Cryptography\n   Architecture</b></a>\n  <li>RFC 2459: X.509 Certificate and CRL Profile\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor information about X.509 certificates and CRLs, please see:\n<ul>\n  <li><a href=http://www.ietf.org/rfc/rfc2459.txt>\nhttp://www.ietf.org/rfc/rfc2459.txt</a>\n  <li><a href=../../../../technotes/guides/security/cert3.html>\nX.509 Certificates and CRLs</a>\n</ul>\n\n@since 1.2\n"
85,package,java/security/acl,"\n\nThe classes and interfaces in this package have been\nsuperseded by classes in the java.security package.\nSee that package and, for example, java.security.Permission for details.\n\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href="">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href="">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since JDK1.1\n"
87,method,org/eclipse/jface/dialogs/TrayDialog/closeTray/,"Closes this dialog's tray, disposing its widgets.\n \n @throws IllegalStateException if the tray was not open\n"
88,method,org/eclipse/jface/dialogs/TrayDialog/close/,
89,method,org/eclipse/jface/dialogs/TrayDialog/createButtonBar/Composite,
93,method,org/eclipse/jface/dialogs/TrayDialog/getTray/,"Returns the tray currently shown in the dialog, or <code>null</code>\n if there is no tray.\n \n @return the dialog's current tray, or <code>null</code> if there is none\n"
94,method,org/eclipse/jface/dialogs/TrayDialog/openTray/DialogTray,"Constructs the tray's widgets and displays the tray in this dialog. The\n dialog's size will be adjusted to accomodate the tray.\n \n @param tray the tray to show in this dialog\n @throws IllegalStateException if the dialog already has a tray open\n @throws UnsupportedOperationException if the dialog does not support trays,\n            for example if it uses a custom layout.\n"
100,field,org/eclipse/jface/dialogs/IDialogConstants/OK_ID,Button id for an Ok button (value 0).\n
101,field,org/eclipse/jface/dialogs/IDialogConstants/CANCEL_ID,Button id for a Cancel button (value 1).\n
102,field,org/eclipse/jface/dialogs/IDialogConstants/YES_ID,Button id for a Yes button (value 2).\n
103,field,org/eclipse/jface/dialogs/IDialogConstants/NO_ID,Button id for a No button (value 3).\n
104,field,org/eclipse/jface/dialogs/IDialogConstants/YES_TO_ALL_ID,Button id for a Yes to All button (value 4).\n
105,field,org/eclipse/jface/dialogs/IDialogConstants/SKIP_ID,Button id for a Skip button (value 5).\n
106,field,org/eclipse/jface/dialogs/IDialogConstants/STOP_ID,Button id for a Stop button (value 6).\n
107,field,org/eclipse/jface/dialogs/IDialogConstants/ABORT_ID,Button id for an Abort button (value 7).\n
108,field,org/eclipse/jface/dialogs/IDialogConstants/RETRY_ID,Button id for a Retry button (value 8).\n
109,field,org/eclipse/jface/dialogs/IDialogConstants/IGNORE_ID,Button id for an Ignore button (value 9).\n
110,field,org/eclipse/jface/dialogs/IDialogConstants/PROCEED_ID,Button id for a Proceed button (value 10).\n
111,field,org/eclipse/jface/dialogs/IDialogConstants/OPEN_ID,Button id for an Open button (value 11).\n
112,field,org/eclipse/jface/dialogs/IDialogConstants/CLOSE_ID,Button id for a Close button (value 12).\n
113,field,org/eclipse/jface/dialogs/IDialogConstants/DETAILS_ID,Button id for a Details button (value 13).\n
114,field,org/eclipse/jface/dialogs/IDialogConstants/BACK_ID,Button id for a Back button (value 14).\n
115,field,org/eclipse/jface/dialogs/IDialogConstants/NEXT_ID,Button id for a Next button (value 15).\n
116,field,org/eclipse/jface/dialogs/IDialogConstants/FINISH_ID,Button id for a Finish button (value 16).\n
117,field,org/eclipse/jface/dialogs/IDialogConstants/HELP_ID,Button id for a Help button (value 17).\n
118,field,org/eclipse/jface/dialogs/IDialogConstants/SELECT_ALL_ID,Button id for a Select All button (value 18).\n
119,field,org/eclipse/jface/dialogs/IDialogConstants/DESELECT_ALL_ID,Button id for a Deselect All button (value 19).\n
120,field,org/eclipse/jface/dialogs/IDialogConstants/SELECT_TYPES_ID,Button id for a Select types button (value 20).\n
121,field,org/eclipse/jface/dialogs/IDialogConstants/NO_TO_ALL_ID,Button id for a No to All button (value 21).\n
122,field,org/eclipse/jface/dialogs/IDialogConstants/INTERNAL_ID,Starting button id reserved for internal use by JFace (value 256). JFace\n classes make ids by adding to this number.\n
124,field,org/eclipse/jface/dialogs/IDialogConstants/OK_LABEL,The label for OK buttons.\n
125,field,org/eclipse/jface/dialogs/IDialogConstants/CANCEL_LABEL,The label for cancel buttons.\n
126,field,org/eclipse/jface/dialogs/IDialogConstants/YES_LABEL,The label for yes buttons.\n
127,field,org/eclipse/jface/dialogs/IDialogConstants/NO_LABEL,The label for no buttons.\n
128,field,org/eclipse/jface/dialogs/IDialogConstants/NO_TO_ALL_LABEL,The label for not to all buttons.\n
129,field,org/eclipse/jface/dialogs/IDialogConstants/YES_TO_ALL_LABEL,The label for yes to all buttons.\n
130,field,org/eclipse/jface/dialogs/IDialogConstants/SKIP_LABEL,The label for skip buttons.\n
131,field,org/eclipse/jface/dialogs/IDialogConstants/STOP_LABEL,The label for stop buttons.\n
132,field,org/eclipse/jface/dialogs/IDialogConstants/ABORT_LABEL,The label for abort buttons.\n
133,field,org/eclipse/jface/dialogs/IDialogConstants/RETRY_LABEL,The label for retry buttons.\n
134,field,org/eclipse/jface/dialogs/IDialogConstants/IGNORE_LABEL,The label for ignore buttons.\n
135,field,org/eclipse/jface/dialogs/IDialogConstants/PROCEED_LABEL,The label for proceed buttons.\n
136,field,org/eclipse/jface/dialogs/IDialogConstants/OPEN_LABEL,The label for open buttons.\n
137,field,org/eclipse/jface/dialogs/IDialogConstants/CLOSE_LABEL,The label for close buttons.\n
138,field,org/eclipse/jface/dialogs/IDialogConstants/SHOW_DETAILS_LABEL,The label for show details buttons.\n
139,field,org/eclipse/jface/dialogs/IDialogConstants/HIDE_DETAILS_LABEL,The label for hide details buttons.\n
140,field,org/eclipse/jface/dialogs/IDialogConstants/BACK_LABEL,The label for back buttons.\n
141,field,org/eclipse/jface/dialogs/IDialogConstants/NEXT_LABEL,The label for next buttons.\n
142,field,org/eclipse/jface/dialogs/IDialogConstants/FINISH_LABEL,The label for finish buttons.\n
143,field,org/eclipse/jface/dialogs/IDialogConstants/HELP_LABEL,The label for help buttons.\n
144,field,org/eclipse/jface/dialogs/IDialogConstants/VERTICAL_MARGIN,Vertical margin in dialog units (value 7).\n
145,field,org/eclipse/jface/dialogs/IDialogConstants/VERTICAL_SPACING,Vertical spacing in dialog units (value 4).\n
146,field,org/eclipse/jface/dialogs/IDialogConstants/HORIZONTAL_MARGIN,Horizontal margin in dialog units (value 7).\n
147,field,org/eclipse/jface/dialogs/IDialogConstants/HORIZONTAL_SPACING,Horizontal spacing in dialog units (value 4).\n
148,field,org/eclipse/jface/dialogs/IDialogConstants/BUTTON_BAR_HEIGHT,Height of button bar in dialog units (value 25).\n
149,field,org/eclipse/jface/dialogs/IDialogConstants/LEFT_MARGIN,Left margin in dialog units (value 20).\n
150,field,org/eclipse/jface/dialogs/IDialogConstants/BUTTON_MARGIN,Button margin in dialog units (value 4).\n
151,field,org/eclipse/jface/dialogs/IDialogConstants/BUTTON_HEIGHT,Button height in dialog units (value 14).\n \n @deprecated This constant is no longer in use.\n The button heights are now determined by the layout.\n
152,field,org/eclipse/jface/dialogs/IDialogConstants/BUTTON_WIDTH,Button width in dialog units (value 61).\n
153,field,org/eclipse/jface/dialogs/IDialogConstants/INDENT,Indent in dialog units (value 21).\n
154,field,org/eclipse/jface/dialogs/IDialogConstants/SMALL_INDENT,Small indent in dialog units (value 7).\n
155,field,org/eclipse/jface/dialogs/IDialogConstants/ENTRY_FIELD_WIDTH,Entry field width in dialog units (value 200).\n
156,field,org/eclipse/jface/dialogs/IDialogConstants/MINIMUM_MESSAGE_AREA_WIDTH,Minimum width of message area in dialog units (value 300).\n
159,method,org/eclipse/jface/dialogs/ControlAnimator/ControlAnimator/Control,Constructs a new ControlAnimator instance and passes along the\n control that will be displayed or hidden.\n \n @param control the control that will be displayed or hidden.\n
160,field,org/eclipse/jface/dialogs/ControlAnimator/control,the control that will be displayed or hidden
162,method,org/eclipse/jface/dialogs/ProgressIndicator/beginAnimatedTask/,Initialize the progress bar to be animated.\n
163,method,org/eclipse/jface/dialogs/ProgressIndicator/beginTask/int,Initialize the progress bar.\n \n @param max\n            The maximum value.\n
164,method,org/eclipse/jface/dialogs/ProgressIndicator/done/,Progress is done.\n
165,method,org/eclipse/jface/dialogs/ProgressIndicator/sendRemainingWork/,Moves the progress indicator to the end.\n
166,method,org/eclipse/jface/dialogs/ProgressIndicator/worked/double,Moves the progress indicator by the given amount of work units\n @param work the amount of work to increment by.\n
168,method,org/eclipse/jface/dialogs/ProgressIndicator/showPaused/,Show the receiver as being paused.\n @since 3.4\n
169,method,org/eclipse/jface/dialogs/ProgressIndicator/showNormal/,Reset the progress bar to it's normal style.\n @since 3.4\n
170,method,org/eclipse/jface/dialogs/ProgressIndicator/ProgressIndicator/Composite,Create a ProgressIndicator as a child under the given parent.\n \n @param parent\n            The widgets parent\n
171,method,org/eclipse/jface/dialogs/ProgressIndicator/ProgressIndicator/Composite;int,Create a ProgressIndicator as a child under the given parent.\n \n @param parent\n            The widgets parent\n @param style the SWT style constants for progress monitors created \n 	by the receiver.\n @since 3.4\n
172,interface,org/eclipse/jface/dialogs/IMessageProvider,Minimal interface to a message provider. Used for dialog pages which can\n provide a message with an icon.\n \n @since 2.0\n
173,method,org/eclipse/jface/dialogs/IMessageProvider/getMessage/,"Returns the current message for this message provider.\n <p>\n A message provides instruction or information to the user.\n </p>\n \n @return the message, or <code>null</code> if none\n"
176,field,org/eclipse/jface/dialogs/IMessageProvider/INFORMATION,Constant for an info message (value 1).\n
179,interface,org/eclipse/jface/dialogs/IInputValidator,The IInputValidator is the interface for simple validators. \n @see org.eclipse.jface.dialogs.InputDialog\n
182,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/updateForClearBlocked/,Clear blocked state from the receiver.\n
183,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/updateForSetBlocked/IStatus,Set blocked state from the receiver.\n \n @param reason\n            IStatus that gives the details\n
184,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/cancelPressed/,The cancel button has been pressed.\n \n @since 3.0\n
186,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/clearCursors/,Clear the cursors in the dialog.\n \n @since 3.0\n
187,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/configureShell/Shell,
188,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/createButtonsForButtonBar/Composite,
189,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/createCancelButton/Composite,Creates the cancel button.\n \n @param parent\n            the parent composite\n @since 3.0\n
190,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/createDialogArea/Composite,
191,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/getInitialSize/,
192,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/getProgressMonitor/,Returns the progress monitor to use for operations run in this progress\n dialog.\n \n @return the progress monitor\n
196,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/getNestingDepth/,Returns the nesting depth of running operations.\n \n @return the nesting depth of running operations\n @since 3.0\n
197,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/incrementNestingDepth/,Increments the nesting depth of running operations.\n \n @since 3.0\n
198,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/decrementNestingDepth/,Decrements the nesting depth of running operations.\n \n @since 3.0\n \n
201,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/setCancelable/boolean,"Sets whether the progress dialog is cancelable or not.\n \n @param cancelable\n            <code>true</code> if the end user can cancel this progress\n            dialog, and <code>false</code> if it cannot be canceled\n"
202,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/setOperationCancelButtonEnabled/boolean,"Helper to enable/disable Cancel button for this dialog.\n \n @param b\n            <code>true</code> to enable the cancel button, and\n            <code>false</code> to disable it\n @since 3.0\n"
203,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/getImage/,
204,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/open/,
205,method,org/eclipse/jface/dialogs/ProgressMonitorDialog/ProgressMonitorDialog/Shell,"Creates a progress monitor dialog under the given shell. The dialog has a\n standard title and no image. <code>open</code> is non-blocking.\n \n @param parent\n            the parent shell, or <code>null</code> to create a top-level\n            shell\n"
206,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/progressIndicator,The progress indicator control.\n
207,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/taskLabel,The label control for the task. Kept for backwards compatibility.\n
208,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/subTaskLabel,The label control for the subtask.\n
209,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/cancel,The Cancel button control.\n
210,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/operationCancelableState,Indicates whether the Cancel button is to be shown.\n
211,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/enableCancelButton,Indicates whether the Cancel button is to be enabled.\n
212,field,org/eclipse/jface/dialogs/ProgressMonitorDialog/arrowCursor,The cursor used in the cancel button;\n
233,interface,org/eclipse/jface/dialogs/IDialogPage,Interface for a page in a multi-page dialog.\n
234,method,org/eclipse/jface/dialogs/IDialogPage/createControl/Composite,Creates the top level control for this dialog\n page under the given parent composite.\n <p>\n Implementors are responsible for ensuring that\n the created control can be accessed via <code>getControl</code>\n </p>\n\n @param parent the parent composite\n
235,method,org/eclipse/jface/dialogs/IDialogPage/dispose/,Disposes the SWT resources allocated by this\n dialog page.\n
237,method,org/eclipse/jface/dialogs/IDialogPage/getDescription/,"Returns this dialog page's description text.\n\n @return the description text for this dialog page, \n  or <code>null</code> if none\n"
239,method,org/eclipse/jface/dialogs/IDialogPage/getImage/,"Returns this dialog page's image.\n\n @return the image for this dialog page, or <code>null</code>\n  if none\n"
241,method,org/eclipse/jface/dialogs/IDialogPage/getTitle/,"Returns this dialog page's title.\n\n @return the title of this dialog page, \n  or <code>null</code> if none\n"
242,method,org/eclipse/jface/dialogs/IDialogPage/performHelp/,Notifies that help has been requested for this dialog page.\n
243,method,org/eclipse/jface/dialogs/IDialogPage/setDescription/String,"Sets this dialog page's description text.\n \n @param description the description text for this dialog\n  page, or <code>null</code> if none\n"
244,method,org/eclipse/jface/dialogs/IDialogPage/setImageDescriptor/ImageDescriptor,"Sets this dialog page's image.\n\n @param image the image for this dialog page, \n  or <code>null</code> if none\n"
245,method,org/eclipse/jface/dialogs/IDialogPage/setTitle/String,"Set this dialog page's title.\n\n @param title the title of this dialog page, \n  or <code>null</code> if none\n"
246,method,org/eclipse/jface/dialogs/IDialogPage/setVisible/boolean,"Sets the visibility of this dialog page.\n\n @param visible <code>true</code> to make this page visible,\n  and <code>false</code> to hide it\n"
248,method,org/eclipse/jface/dialogs/StatusDialog/setStatusLineAboveButtons/boolean,Specifies whether status line appears to the left of the buttons\n (default) or above them.\n \n @param aboveButtons\n            if <code>true</code> status line is placed above buttons; if\n            <code>false</code> to the right\n
250,method,org/eclipse/jface/dialogs/StatusDialog/getStatus/,Returns the last status.\n \n @return IStatus\n
252,method,org/eclipse/jface/dialogs/StatusDialog/configureShell/Shell,
253,method,org/eclipse/jface/dialogs/StatusDialog/create/,
254,method,org/eclipse/jface/dialogs/StatusDialog/createButtonsForButtonBar/Composite,
255,method,org/eclipse/jface/dialogs/StatusDialog/createButtonBar/Composite,
256,method,org/eclipse/jface/dialogs/StatusDialog/setTitle/String,Sets the title for this dialog.\n \n @param title\n            the title.\n
257,method,org/eclipse/jface/dialogs/StatusDialog/setImage/Image,Sets the image for this dialog.\n \n @param image\n            the image.\n
258,method,org/eclipse/jface/dialogs/StatusDialog/StatusDialog/Shell,Creates an instance of a status dialog.\n \n @param parent\n            the parent Shell of the dialog\n
260,method,org/eclipse/jface/dialogs/DialogSettings/addNewSection/String,
261,method,org/eclipse/jface/dialogs/DialogSettings/addSection/IDialogSettings,
262,method,org/eclipse/jface/dialogs/DialogSettings/get/String,
263,method,org/eclipse/jface/dialogs/DialogSettings/getArray/String,
264,method,org/eclipse/jface/dialogs/DialogSettings/getBoolean/String,
265,method,org/eclipse/jface/dialogs/DialogSettings/getDouble/String,
266,method,org/eclipse/jface/dialogs/DialogSettings/getFloat/String,
267,method,org/eclipse/jface/dialogs/DialogSettings/getInt/String,
268,method,org/eclipse/jface/dialogs/DialogSettings/getLong/String,
269,method,org/eclipse/jface/dialogs/DialogSettings/getName/,
270,method,org/eclipse/jface/dialogs/DialogSettings/getSection/String,
271,method,org/eclipse/jface/dialogs/DialogSettings/getSections/,
272,method,org/eclipse/jface/dialogs/DialogSettings/load/Reader,
273,method,org/eclipse/jface/dialogs/DialogSettings/load/String,
274,method,org/eclipse/jface/dialogs/DialogSettings/put/String;String[],
275,method,org/eclipse/jface/dialogs/DialogSettings/put/String;double,
276,method,org/eclipse/jface/dialogs/DialogSettings/put/String;float,
277,method,org/eclipse/jface/dialogs/DialogSettings/put/String;int,
278,method,org/eclipse/jface/dialogs/DialogSettings/put/String;long,
279,method,org/eclipse/jface/dialogs/DialogSettings/put/String;String,
280,method,org/eclipse/jface/dialogs/DialogSettings/put/String;boolean,
281,method,org/eclipse/jface/dialogs/DialogSettings/save/Writer,
282,method,org/eclipse/jface/dialogs/DialogSettings/save/String,
283,method,org/eclipse/jface/dialogs/DialogSettings/DialogSettings/String,Create an empty dialog settings which loads and saves its\n content to a file.\n Use the methods <code>load(String)</code> and <code>store(String)</code>\n to load and store this dialog settings.\n\n @param sectionName the name of the section in the settings.\n
