directive_Text,filePath,className,methodName,kind,,,,,,
" @param bag the bag to decorate, must not be nul",org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,SynchronizedBag,Not Null Directive,,,,,,
@throws IllegalArgumentException if bag is null ,org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,SynchronizedBag,Not Null Directive,,,,,,
"@param collection the collection to decorate, must not be null",org/apache/commons/collections/collection/SynchronizedCollection,SynchronizedCollection,SynchronizedCollection,Not Null Directive,,,,,,
"@param lock the lock object to use, must not be null ",org/apache/commons/collections/collection/SynchronizedCollection,SynchronizedCollection,SynchronizedCollection,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/collection/SynchronizedCollection,SynchronizedCollection,SynchronizedCollection,Not Null Directive,,,,,,
"@param lock the lock object to use, must not be null",org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,SynchronizedBuffer,Not Null Directive,,,,,,
@throws IllegalArgumentException if the buffer is null ,org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,SynchronizedBuffer,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null ",org/apache/commons/collections/list/SynchronizedList,SynchronizedList,SynchronizedList,Not Null Directive,,,,,,
"@param lock the lock to use, must not be null",org/apache/commons/collections/list/SynchronizedList,SynchronizedList,SynchronizedList,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/SynchronizedList,SynchronizedList,SynchronizedList,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null ",org/apache/commons/collections/list/LazyList,LazyList,decorate,Not Null Directive,,,,,,
"@param factory the factory to use for creation, must not be null ",org/apache/commons/collections/list/LazyList,LazyList,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if list or factory is null\n,org/apache/commons/collections/list/LazyList,LazyList,decorate,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null",org/apache/commons/collections/list/LazyList,LazyList,LazyList,Not Null Directive,,,,,,
" @param factory the factory to use for creation, must not be null ",org/apache/commons/collections/list/LazyList,LazyList,LazyList,Not Null Directive,,,,,,
 @throws IllegalArgumentException if list or factory is null ,org/apache/commons/collections/list/LazyList,LazyList,LazyList,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazyMap,LazyMap,getLazyMap,Not Null Directive,,,,,,
 @throws IllegalArgumentException if map or factory is null\n\n,org/apache/commons/collections/map/LazyMap,LazyMap,getLazyMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/LazyMap,LazyMap,getLazyMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/LazyMap,LazyMap,getLazyMap,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazyMap,LazyMap,getLazyMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null\n\n,org/apache/commons/collections/map/LazyMap,LazyMap,getLazyMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/LazyMap,LazyMap,LazyMap,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazyMap,LazyMap,LazyMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null ,org/apache/commons/collections/map/LazyMap,LazyMap,LazyMap,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazyMap,LazyMap,LazyMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/map/LazyMap,LazyMap,LazyMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null\n,org/apache/commons/collections/map/LazyMap,LazyMap,LazyMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,decorate,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null ,org/apache/commons/collections/map/LazySortedMap,LazySortedMap,decorate,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null ,org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null ",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,decorate,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null,org/apache/commons/collections/map/LazySortedMap,LazySortedMap,decorate,Not Null Directive,,,,,,
" @param factory the factory to use, must not be null ",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null\n\n,org/apache/commons/collections/map/LazySortedMap,LazySortedMap,getLazySortedMap,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,LazySortedMap,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,LazySortedMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null ,org/apache/commons/collections/map/LazySortedMap,LazySortedMap,LazySortedMap,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,LazySortedMap,Not Null Directive,,,,,,
"@param factory the factory to use, must not be null",org/apache/commons/collections/map/LazySortedMap,LazySortedMap,LazySortedMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map or factory is null ,org/apache/commons/collections/map/LazySortedMap,LazySortedMap,LazySortedMap,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,SynchronizedSortedSet,Not Null Directive,,,,,,
"@param lock the lock object to use, must not be null ",org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,SynchronizedSortedSet,Not Null Directive,,,,,,
 @throws IllegalArgumentException if set is null\n,org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,SynchronizedSortedSet,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null ",org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,SynchronizedSet,Not Null Directive,,,,,,
" @param lock the lock object to use, must not be null ",org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,SynchronizedSet,Not Null Directive,,,,,,
 @throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,SynchronizedSet,Not Null Directive,,,,,,
"@param bag the bag to decorate, must not be null",org/apache/commons/collections/bag/SynchronizedSortedBag,SynchronizedSortedBag,SynchronizedSortedBag,Not Null Directive,,,,,,
 @throws IllegalArgumentException if bag is null ,org/apache/commons/collections/bag/SynchronizedSortedBag,SynchronizedSortedBag,SynchronizedSortedBag,Not Null Directive,,,,,,
"@param bag the bag to decorate, must not be null",org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if bag is null ,org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,decorate,Not Null Directive,,,,,,
"@param bag the bag to decorate, must not be null",org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,SynchronizedBag,Not Null Directive,,,,,,
@throws IllegalArgumentException if bag is null ,org/apache/commons/collections/bag/SynchronizedBag,SynchronizedBag,SynchronizedBag,Not Null Directive,,,,,,
" @param bag the bag to decorate, must not be null",org/apache/commons/collections/bag/AbstractSortedBagDecorator,AbstractSortedBagDecorator,AbstractSortedBagDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/bag/AbstractSortedBagDecorator,AbstractSortedBagDecorator,AbstractSortedBagDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/bag/AbstractBagDecorator,AbstractBagDecorator,AbstractBagDecorator,Not Null Directive,,,,,,
"@param collection the collection to decorate, must not be null",org/apache/commons/collections/collection/SynchronizedCollection,SynchronizedCollection,SynchronizedCollection,Not Null Directive,,,,,,
 @throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/collection/SynchronizedCollection,SynchronizedCollection,SynchronizedCollection,Not Null Directive,,,,,,
" @param coll the collection to decorate, must not be null ",org/apache/commons/collections/collection/AbstractCollectionDecorator,AbstractCollectionDecorator,AbstractCollectionDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/collection/AbstractCollectionDecorator,AbstractCollectionDecorator,AbstractCollectionDecorator,Not Null Directive,,,,,,
" @param buffer the buffer to decorate, must not be null ",org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,SynchronizedBuffer,Not Null Directive,,,,,,
@throws IllegalArgumentException if the buffer is null ,org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,SynchronizedBuffer,Not Null Directive,,,,,,
" @param buffer the buffer to decorate, must not be null",org/apache/commons/collections/buffer/BlockingBuffer,BlockingBuffer,BlockingBuffer,Not Null Directive,,,,,,
 @throws IllegalArgumentException if the buffer is null ,org/apache/commons/collections/buffer/BlockingBuffer,BlockingBuffer,BlockingBuffer,Not Null Directive,,,,,,
" @param buffer the buffer to decorate, must not be null ",org/apache/commons/collections/buffer/AbstractBufferDecorator,AbstractBufferDecorator,AbstractBufferDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/buffer/AbstractBufferDecorator,AbstractBufferDecorator,AbstractBufferDecorator,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null ",org/apache/commons/collections/list/SynchronizedList,SynchronizedList,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/SynchronizedList,SynchronizedList,decorate,Not Null Directive,,,,,,
" @param list the list to decorate, must not be null ",org/apache/commons/collections/list/SynchronizedList,SynchronizedList,SynchronizedList,Not Null Directive,,,,,,
 @throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/SynchronizedList,SynchronizedList,SynchronizedList,Not Null Directive,,,,,,
" @param list the list to decorate, must not be null ",org/apache/commons/collections/list/UnmodifiableList,UnmodifiableList,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/UnmodifiableList,UnmodifiableList,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/UnmodifiableList,UnmodifiableList,UnmodifiableList,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null",org/apache/commons/collections/list/GrowthList,GrowthList,decorate,Not Null Directive,,,,,,
 @throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/GrowthList,GrowthList,decorate,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null ",org/apache/commons/collections/list/GrowthList,GrowthList,GrowthList,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/GrowthList,GrowthList,GrowthList,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null ",org/apache/commons/collections/list/FixedSizeList,FixedSizeList,decorate,Not Null Directive,,,,,,
throws IllegalArgumentException if list is null ,org/apache/commons/collections/list/FixedSizeList,FixedSizeList,decorate,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null ",org/apache/commons/collections/list/FixedSizeList,FixedSizeList,FixedSizeList,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null\n\n,org/apache/commons/collections/list/FixedSizeList,FixedSizeList,FixedSizeList,Not Null Directive,,,,,,
"@param list the list to decorate, must not be null",org/apache/commons/collections/list/AbstractListDecorator,AbstractListDecorator,AbstractListDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if list is null\n,org/apache/commons/collections/list/AbstractListDecorator,AbstractListDecorator,AbstractListDecorator,Not Null Directive,,,,,,
"@param iterator the iterator to decorate, must not be null",org/apache/commons/collections/iterators/AbstractIteratorDecorator,AbstractIteratorDecorator,AbstractIteratorDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/iterators/AbstractIteratorDecorator,AbstractIteratorDecorator,AbstractIteratorDecorator,Not Null Directive,,,,,,
" @param iterator the iterator to decorate, must not be null ",org/apache/commons/collections/iterators/AbstractMapIteratorDecorator,AbstractMapIteratorDecorator,AbstractMapIteratorDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/iterators/AbstractMapIteratorDecorator,AbstractMapIteratorDecorator,AbstractMapIteratorDecorator,Not Null Directive,,,,,,
"@param iterator the iterator to decorate, must not be null",org/apache/commons/collections/iterators/AbstractListIteratorDecorator,AbstractListIteratorDecorator,AbstractListIteratorDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/iterators/AbstractListIteratorDecorator,AbstractListIteratorDecorator,AbstractListIteratorDecorator,Not Null Directive,,,,,,
"@param iterator the iterator to decorate, must not be null ",org/apache/commons/collections/iterators/AbstractOrderedMapIteratorDecorator,AbstractOrderedMapIteratorDecorator,AbstractOrderedMapIteratorDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/iterators/AbstractOrderedMapIteratorDecorator,AbstractOrderedMapIteratorDecorator,AbstractOrderedMapIteratorDecorator,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null",org/apache/commons/collections/map/UnmodifiableMap,UnmodifiableMap,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/UnmodifiableMap,UnmodifiableMap,decorate,Not Null Directive,,,,,,
" @param set the set to decorate, must not be null ",org/apache/commons/collections/map/UnmodifiableEntrySet,UnmodifiableEntrySet,decorate,Not Null Directive,,,,,,
 @throws IllegalArgumentException if set is null ,org/apache/commons/collections/map/UnmodifiableEntrySet,UnmodifiableEntrySet,decorate,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null ",org/apache/commons/collections/map/FixedSizeMap,FixedSizeMap,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/FixedSizeMap,FixedSizeMap,decorate,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/FixedSizeMap,FixedSizeMap,FixedSizeMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/FixedSizeMap,FixedSizeMap,FixedSizeMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/UnmodifiableSortedMap,UnmodifiableSortedMap,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/FixedSizeSortedMap,FixedSizeSortedMap,decorate,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null ",org/apache/commons/collections/map/FixedSizeSortedMap,FixedSizeSortedMap,FixedSizeSortedMap,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/FixedSizeSortedMap,FixedSizeSortedMap,FixedSizeSortedMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null",org/apache/commons/collections/map/AbstractMapDecorator,AbstractMapDecorator,AbstractMapDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/map/AbstractMapDecorator,AbstractMapDecorator,AbstractMapDecorator,Not Null Directive,,,,,,
" @param map the map to decorate, must not be null ",org/apache/commons/collections/map/UnmodifiableOrderedMap,UnmodifiableOrderedMap,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/UnmodifiableOrderedMap,UnmodifiableOrderedMap,decorate,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/map/ListOrderedMap,ListOrderedMap,ListOrderedMap,Not Null Directive,,,,,,
 @throws IllegalArgumentException if map is null ,org/apache/commons/collections/map/ListOrderedMap,ListOrderedMap,ListOrderedMap,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/map/AbstractOrderedMapDecorator,AbstractOrderedMapDecorator,AbstractOrderedMapDecorator,Not Null Directive,,,,,,
 @throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/map/AbstractOrderedMapDecorator,AbstractOrderedMapDecorator,AbstractOrderedMapDecorator,Not Null Directive,,,,,,
@throws NullPointerException if the entry is null ,org/apache/commons/collections/keyvalue/UnmodifiableMapEntry,UnmodifiableMapEntry,UnmodifiableMapEntry,Not Null Directive,,,,,,
" @param entry the entry to copy, must not be null ",org/apache/commons/collections/keyvalue/UnmodifiableMapEntry,UnmodifiableMapEntry,UnmodifiableMapEntry,Not Null Directive,,,,,,
 @throws NullPointerException if the entry is null ,org/apache/commons/collections/keyvalue/UnmodifiableMapEntry,UnmodifiableMapEntry,UnmodifiableMapEntry,Not Null Directive,,,,,,
"@param pair the pair to copy, must not be null",org/apache/commons/collections/keyvalue/DefaultKeyValue,DefaultKeyValue,DefaultKeyValue,Not Null Directive,,,,,,
@throws NullPointerException if the entry is null ,org/apache/commons/collections/keyvalue/DefaultKeyValue,DefaultKeyValue,DefaultKeyValue,Not Null Directive,,,,,,
@throws NullPointerException if the entry is null ,org/apache/commons/collections/keyvalue/DefaultKeyValue,DefaultKeyValue,DefaultKeyValue,Not Null Directive,,,,,,
"@param entry the Map.Entry to decorate, must not be null ",org/apache/commons/collections/keyvalue/AbstractMapEntryDecorator,AbstractMapEntryDecorator,AbstractMapEntryDecorator,Not Null Directive,,,,,,
 @throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/keyvalue/AbstractMapEntryDecorator,AbstractMapEntryDecorator,AbstractMapEntryDecorator,Not Null Directive,,,,,,
@throws NullPointerException if the entry is null ,org/apache/commons/collections/keyvalue/DefaultMapEntry,DefaultMapEntry,DefaultMapEntry,Not Null Directive,,,,,,
"@param entry the entry to copy, must not be null",org/apache/commons/collections/keyvalue/DefaultMapEntry,DefaultMapEntry,DefaultMapEntry,Not Null Directive,,,,,,
@throws NullPointerException if the entry is null ,org/apache/commons/collections/keyvalue/DefaultMapEntry,DefaultMapEntry,DefaultMapEntry,Not Null Directive,,,,,,
 @throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,decorate,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,SynchronizedSortedSet,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/SynchronizedSortedSet,SynchronizedSortedSet,SynchronizedSortedSet,Not Null Directive,,,,,,
" @param set the set to decorate, must not be null ",org/apache/commons/collections/set/ListOrderedSet,ListOrderedSet,ListOrderedSet,Not Null Directive,,,,,,
 @throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/ListOrderedSet,ListOrderedSet,ListOrderedSet,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/UnmodifiableSortedSet,UnmodifiableSortedSet,decorate,Not Null Directive,,,,,,
"@param set the set to decorate, must not be null",org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,SynchronizedSet,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,decorate,Not Null Directive,,,,,,
" @param set the set to decorate, must not be null ",org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null,org/apache/commons/collections/set/SynchronizedSet,SynchronizedSet,SynchronizedSet,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/UnmodifiableSet,UnmodifiableSet,decorate,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/set/MapBackedSet,MapBackedSet,decorate,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/MapBackedSet,MapBackedSet,decorate,Not Null Directive,,,,,,
" @param set the set to decorate, must not be null ",org/apache/commons/collections/set/AbstractSortedSetDecorator,AbstractSortedSetDecorator,AbstractSortedSetDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if set is null ,org/apache/commons/collections/set/AbstractSortedSetDecorator,AbstractSortedSetDecorator,AbstractSortedSetDecorator,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/bidimap/AbstractBidiMapDecorator,AbstractBidiMapDecorator,AbstractBidiMapDecorator,Not Null Directive,,,,,,
"@param map the map to decorate, must not be null ",org/apache/commons/collections/bidimap/AbstractSortedBidiMapDecorator,AbstractSortedBidiMapDecorator,AbstractSortedBidiMapDecorator,Not Null Directive,,,,,,
@throws IllegalArgumentException if the collection is null ,org/apache/commons/collections/bidimap/AbstractSortedBidiMapDecorator,AbstractSortedBidiMapDecorator,AbstractSortedBidiMapDecorator,Not Null Directive,,,,,,
